beta,Tsteps,steps,n_mpi_processes,stepsPerMeasurement,total_updates,total_mean_q,total_max_q,total_mean_sign,total_std_sign,total_mean_A,total_std_A,total_mean_A2,total_std_A2,total_mean_A_tau_A,total_std_A_tau_A,total_mean_A_Eint,total_std_A_Eint,total_mean_A_Fint,total_std_A_Fint,therm_pass_A,therm_pass_A2,therm_pass_A_tau_A,therm_pass_A_Eint,therm_pass_A_Fint,total_elapsed_cpu_time,wall_clock_time,elapsed_time_rank0,elapsed_time_rank1,elapsed_time_rank2,elapsed_time_rank3,elapsed_time_rank4,elapsed_time_rank5
16.3449,100000,1000000,6,10,6000000,2.16762167,12.0,0.999393333,0.000138339099,-0.136915906,0.00998279751,2.68295308,0.0625958903,0.747171684,0.00540172321,15.1363538,0.117800401,26.2093651,0.175161039,1,1,1,1,1,1252.70249,220.209874,220.205,207.055,204.634,209.958,211.423,199.427
16.751,100000,1000000,6,10,6000000,2.201855,14.0,0.999476667,0.0001136787,-0.123808106,0.0090959251,2.57501809,0.0685528893,0.734629164,0.00642603168,15.2707138,0.119049158,27.0808361,0.213877873,1,1,1,1,1,1319.80762,244.412859,223.552,204.874,244.408,242.422,200.142,204.41
17.1571,100000,1000000,6,10,6000000,2.29054333,14.0,0.99962,0.000107194144,-0.134474292,0.0096971463,2.62421006,0.0552038542,0.711968545,0.00497472116,15.3189408,0.107660868,27.6119552,0.175400723,1,0,1,1,1,1366.94501,250.514565,209.188,245.091,250.51,236.521,210.039,215.596
17.5633,100000,1000000,6,10,6000000,2.376815,14.0,0.999626667,0.000119020245,-0.14623406,0.00978707918,2.73072959,0.0688207508,0.691921759,0.00850313795,15.4621005,0.143343376,28.1942131,0.30178295,0,1,0,1,0,1511.05637,268.04959,268.045,225.179,245.139,251.487,255.305,265.901
17.9694,100000,1000000,6,10,6000000,2.41511833,12.0,0.999296667,0.000178399474,-0.142345081,0.0100347269,2.72646291,0.0659084907,0.67825673,0.00590944991,15.4924064,0.131535972,28.9886937,0.229892234,1,1,0,1,0,1546.45109,278.817672,258.549,272.536,261.316,278.813,218.969,256.269
18.3755,100000,1000000,6,10,6000000,2.49948,12.0,0.999483333,9.90190621e-05,-0.145511872,0.00959342077,2.70161688,0.0596383939,0.656064625,0.005190901,15.4407607,0.105212967,29.4307142,0.206554762,1,1,1,1,1,1489.64985,270.508306,270.504,218.356,231.952,253.559,255.717,259.562
18.7816,100000,1000000,6,10,6000000,2.54942333,12.0,0.99959,0.000110194546,-0.14138782,0.00907804858,2.70843149,0.0558842882,0.653351858,0.00607314549,15.76493,0.129784296,30.6122468,0.25447208,1,1,1,1,1,1462.24339,274.818719,233.762,217.598,238.427,263.499,234.143,274.815
19.1878,100000,1000000,6,10,6000000,2.64135333,14.0,0.999293333,0.000209070957,-0.124345077,0.00919051624,2.7504173,0.0623043295,0.631732123,0.00488942911,15.883422,0.105325926,31.0107875,0.210592879,0,1,1,1,1,1627.42468,287.114425,264.879,278.321,269.57,259.072,287.11,268.474
19.5939,100000,1000000,6,10,6000000,2.72261333,14.0,0.999186667,0.000258238982,-0.137153055,0.00992740378,2.59326689,0.0570505256,0.604061952,0.00502527423,15.7451136,0.120109951,31.073162,0.231570114,1,1,1,1,1,1670.22279,294.848854,292.027,294.845,282.454,256.298,290.792,253.806
2.13061,100000,1000000,6,10,6000000,0.06631,4.0,1.0,0.0,-0.0324593235,0.0120370718,2.58129616,0.244381973,1.54712101,0.0186648551,3.97811973,0.191836219,0.907485631,0.0163449331,1,1,1,1,1,54.171975,9.115535,8.86964,8.98678,9.04495,9.08409,9.11174,9.07479
2.53674,100000,1000000,6,10,6000000,0.0932333333,6.0,1.0,0.0,-0.0097735148,0.01244884,2.32361631,0.163180903,1.52014469,0.0115493124,4.1838151,0.0960067387,1.25083671,0.0132203588,1,1,1,1,1,59.403569,10.041298,9.90397,9.80106,9.87641,10.0374,9.86268,9.92209
2.94286,100000,1000000,6,10,6000000,0.12172,6.0,0.99998,1.04857482e-05,-0.00707629529,0.0107900004,2.12477691,0.108958675,1.45481821,0.00763235468,4.55793079,0.0583166291,1.60310267,0.0104122263,1,1,0,1,0,64.630027,10.818209,10.8088,10.8008,10.765,10.6373,10.8039,10.8143
20.0,100000,1000000,6,10,6000000,2.75612167,15.0,0.999033333,0.000215983373,-0.144831017,0.00980252705,2.73955696,0.0549511635,0.60413112,0.00526187363,15.9876804,0.125500123,32.3616337,0.248145348,1,1,1,1,1,1784.03126,321.283425,258.267,304.426,315.049,297.275,321.279,287.734
