lam,wall_time(s)
0.6,329.152000
0.6,338.125000
0.6,338.456000
0.6,339.292000
0.6,340.156000
0.6,340.323000
0.6,341.400000
0.6,342.023000
0.6,342.445000
0.6,344.321000
0.6,346.024000
0.6,349.411000
0.6,349.927000
0.6,350.523000
0.6,351.565000
0.6,356.903000
0.6,357.139000
0.6,360.736000
0.6,361.711000
0.6,361.785000
0.6,363.620000
0.6,367.848000
0.6,368.283000
0.6,368.292000
0.6,371.360000
0.6,371.950000
0.6,375.720000
0.6,376.610000
0.6,377.907000
0.6,379.122000
0.6,379.396000
0.6,380.072000
0.6,382.377000
0.6,384.685000
0.6,385.909000
0.6,391.695000
0.6,392.487000
0.6,393.369000
0.6,393.661000
0.6,394.039000
0.6,395.435000
0.6,396.525000
0.6,397.093000
0.6,397.926000
0.6,398.519000
0.6,399.656000
0.6,400.039000
0.6,401.735000
0.6,402.712000
0.6,404.474000
0.6,404.874000
0.6,405.448000
0.6,407.472000
0.6,407.644000
0.6,407.866000
0.6,408.137000
0.6,408.595000
0.6,408.909000
0.6,411.918000
0.6,412.328000
0.6,412.394000
0.6,412.414000
0.6,412.974000
0.6,413.940000
0.6,414.683000
0.6,415.915000
0.6,416.168000
0.6,416.326000
0.6,418.825000
0.6,419.426000
0.6,419.876000
0.6,421.835000
0.6,424.717000
0.6,429.447000
0.6,430.726000
0.6,431.680000
0.6,433.265000
0.6,446.568000
0.6,451.963000
0.6,452.071000
0.6499999999999999,440.748000
0.6499999999999999,445.718000
0.6499999999999999,452.719000
0.6499999999999999,456.238000
0.6499999999999999,459.743000
0.6499999999999999,460.714000
0.6499999999999999,465.045000
0.6499999999999999,466.434000
0.6499999999999999,469.349000
0.6499999999999999,470.154000
0.6499999999999999,473.204000
0.6499999999999999,477.114000
0.6499999999999999,477.257000
0.6499999999999999,477.569000
0.6499999999999999,478.724000
0.6499999999999999,478.890000
0.6499999999999999,479.080000
0.6499999999999999,482.079000
0.6499999999999999,482.751000
0.6499999999999999,483.630000
0.6499999999999999,483.657000
0.6499999999999999,485.345000
0.6499999999999999,485.700000
0.6499999999999999,487.285000
0.6499999999999999,487.982000
0.6499999999999999,488.004000
0.6499999999999999,489.596000
0.6499999999999999,489.796000
0.6499999999999999,490.518000
0.6499999999999999,490.698000
0.6499999999999999,491.312000
0.6499999999999999,491.386000
0.6499999999999999,491.718000
0.6499999999999999,492.922000
0.6499999999999999,493.502000
0.6499999999999999,493.884000
0.6499999999999999,495.478000
0.6499999999999999,496.867000
0.6499999999999999,496.898000
0.6499999999999999,497.652000
0.6499999999999999,498.212000
0.6499999999999999,499.150000
0.6499999999999999,499.535000
0.6499999999999999,500.513000
0.6499999999999999,500.786000
0.6499999999999999,501.220000
0.6499999999999999,501.302000
0.6499999999999999,501.797000
0.6499999999999999,502.189000
0.6499999999999999,502.749000
0.6499999999999999,502.780000
0.6499999999999999,502.924000
0.6499999999999999,503.801000
0.6499999999999999,504.366000
0.6499999999999999,504.942000
0.6499999999999999,505.785000
0.6499999999999999,506.703000
0.6499999999999999,506.812000
0.6499999999999999,506.894000
0.6499999999999999,507.147000
0.6499999999999999,507.416000
0.6499999999999999,507.750000
0.6499999999999999,508.300000
0.6499999999999999,509.038000
0.6499999999999999,509.261000
0.6499999999999999,509.572000
0.6499999999999999,511.078000
0.6499999999999999,511.711000
