L,type,beta,wall_time_s
10,FS,1.176470588235294,1890.5951
10,FS,1.176470588235294,1859.2725
10,FS,1.176470588235294,1875.3438
10,FS,1.176470588235294,1862.1871
10,FS,1.176470588235294,1889.2269
10,FS,1.2121212121212122,1965.5589
10,FS,1.2121212121212122,1998.0168
10,FS,1.2121212121212122,1947.9389
10,FS,1.2121212121212122,1960.7241
10,FS,1.2121212121212122,1954.5106
10,FS,1.2121212121212122,2005.7046
10,FS,1.2121212121212122,1927.8277
10,FS,1.2121212121212122,1972.4207
10,FS,1.2121212121212122,1917.4015
10,FS,1.2121212121212122,1972.3229
10,FS,1.2121212121212122,1949.5706
10,FS,1.2121212121212122,1994.5632
10,FS,1.2121212121212122,1952.3645
10,FS,1.2121212121212122,2017.0835
10,FS,1.2121212121212122,1957.8325
10,FS,1.2121212121212122,2002.8411
10,FS,1.2121212121212122,1931.7708
10,FS,1.2121212121212122,2000.832
10,FS,1.2121212121212122,1941.6058
10,FS,1.2121212121212122,2023.7464
10,FS,1.25,2056.8191
10,FS,1.25,2108.4852
10,FS,1.25,2049.3578
10,FS,1.25,2114.6664
10,FS,1.25,2033.6988
10,FS,1.25,2108.8879
10,FS,1.25,2057.1615
10,FS,1.25,2109.0986
10,FS,1.25,2048.1773
10,FS,1.25,2065.8352
10,FS,1.25,2056.0201
10,FS,1.25,2089.2223
10,FS,1.25,2048.9742
10,FS,1.25,2088.0111
10,FS,1.25,2021.8092
10,FS,1.25,2047.3671
10,FS,1.25,2067.1279
10,FS,1.25,2066.3354
10,FS,1.25,2049.8738
10,FS,1.25,2054.0248
10,FS,1.2903225806451613,2143.5782
10,FS,1.2903225806451613,2162.0789
10,FS,1.2903225806451613,2117.5316
10,FS,1.2903225806451613,2154.3122
10,FS,1.2903225806451613,2226.3857
10,FS,1.2903225806451613,2219.4316
10,FS,1.2903225806451613,2210.47
10,FS,1.2903225806451613,2231.1259
10,FS,1.2903225806451613,2237.7225
10,FS,1.2903225806451613,2216.6305
10,FS,1.2903225806451613,2194.586
10,FS,1.2903225806451613,2200.4325
10,FS,1.2903225806451613,2179.6951
10,FS,1.2903225806451613,2219.9449
10,FS,1.2903225806451613,2216.2072
10,FS,1.2903225806451613,2213.4862
10,FS,1.2903225806451613,2207.1613
10,FS,1.2903225806451613,2198.8506
10,FS,1.2903225806451613,2196.3682
10,FS,1.2903225806451613,2204.7051
10,FS,1.3333333333333333,2278.6777
10,FS,1.3333333333333333,2316.4097
10,FS,1.3333333333333333,2264.7379
10,FS,1.3333333333333333,2321.1013
10,FS,1.3333333333333333,2260.076
10,FS,1.3333333333333333,2341.6591
10,FS,1.3333333333333333,2284.4992
10,FS,1.3333333333333333,2361.0247
10,FS,1.3333333333333333,2277.9684
10,FS,1.3333333333333333,2278.0338
10,FS,1.3333333333333333,2286.1974
10,FS,1.3333333333333333,2325.3252
10,FS,1.3333333333333333,2271.1827
10,FS,1.3333333333333333,2337.0782
10,FS,1.3333333333333333,2309.4142
10,FS,1.3333333333333333,2306.2153
10,FS,1.3333333333333333,2278.7891
10,FS,1.3333333333333333,2332.0453
10,FS,1.3333333333333333,2280.1549
10,FS,1.3333333333333333,2332.9627
10,FS,1.3793103448275863,2409.3121
10,FS,1.3793103448275863,2404.5238
10,FS,1.3793103448275863,2395.2053
10,FS,1.3793103448275863,2401.8556
10,FS,1.3793103448275863,2365.8516
10,FS,1.3793103448275863,2397.7951
10,FS,1.3793103448275863,2398.8637
10,FS,1.3793103448275863,2348.541
10,FS,1.3793103448275863,2390.5676
10,FS,1.3793103448275863,2329.6454
10,FS,1.3793103448275863,2391.9377
10,FS,1.3793103448275863,2457.0127
10,FS,1.3793103448275863,2391.8934
10,FS,1.3793103448275863,2357.5632
10,FS,1.3793103448275863,2587.7762
10,FS,1.3793103448275863,2602.1689
10,FS,1.3793103448275863,2578.9765
10,FS,1.3793103448275863,2398.7646
10,FS,1.3793103448275863,2392.3773
10,FS,1.3793103448275863,2409.698
10,FS,1.4285714285714286,2518.1692
10,FS,1.4285714285714286,2539.7063
10,FS,1.4285714285714286,2478.6522
10,FS,1.4285714285714286,2600.1531
10,FS,1.4285714285714286,2548.9115
10,FS,1.4285714285714286,2559.1798
10,FS,1.4285714285714286,2477.3993
10,FS,1.4285714285714286,2579.0477
10,FS,1.4285714285714286,2527.9228
10,FS,1.4285714285714286,2626.1744
10,FS,1.4285714285714286,2536.1766
10,FS,1.4285714285714286,2561.262
10,FS,1.4285714285714286,2519.807
10,FS,1.4285714285714286,2556.0479
10,FS,1.4285714285714286,2517.0235
10,FS,1.4285714285714286,2566.9524
10,FS,1.4285714285714286,2516.1561
10,FS,1.4285714285714286,2595.7129
10,FS,1.4285714285714286,2488.2657
10,FS,1.4285714285714286,2601.7183
10,FS,1.4814814814814814,2684.7997
10,FS,1.4814814814814814,2640.8562
10,FS,1.4814814814814814,2699.2626
10,FS,1.4814814814814814,2662.6374
10,FS,1.4814814814814814,2700.9015
10,FS,1.4814814814814814,2658.6952
10,FS,1.4814814814814814,2708.7241
10,FS,1.4814814814814814,2628.4876
10,FS,1.4814814814814814,2705.3388
10,FS,1.4814814814814814,2658.4664
10,FS,1.4814814814814814,2779.6169
10,FS,1.4814814814814814,2673.2354
